frame,count,count_total,ratio
1877,26,97,0.26804123711340205
1181,39,141,0.2765957446808511
1573,32,115,0.2782608695652174
604,54,192,0.28125
1880,28,98,0.2857142857142857
1208,40,137,0.291970802919708
1682,33,113,0.2920353982300885
1522,34,115,0.2956521739130435
811,51,172,0.29651162790697677
1203,41,138,0.2971014492753623
1086,44,147,0.29931972789115646
1084,44,147,0.29931972789115646
921,50,167,0.2994011976047904
515,60,200,0.3
1197,42,140,0.3
1901,29,96,0.3020833333333333
824,52,170,0.3058823529411765
1963,30,98,0.30612244897959184
1088,45,147,0.30612244897959184
556,61,198,0.30808080808080807
1200,43,139,0.30935251798561153
901,52,168,0.30952380952380953
1205,43,138,0.3115942028985507
1714,35,111,0.3153153153153153
1665,36,114,0.3157894736842105
931,53,167,0.31736526946107785
1223,43,135,0.31851851851851853
1691,36,113,0.3185840707964602
1080,47,147,0.3197278911564626
1210,44,137,0.32116788321167883
830,55,171,0.3216374269005848
1163,46,143,0.32167832167832167
1571,37,115,0.3217391304347826
1580,37,115,0.3217391304347826
1217,44,136,0.3235294117647059
1213,44,136,0.3235294117647059
818,55,170,0.3235294117647059
1242,44,135,0.32592592592592595
1219,44,135,0.32592592592592595
1684,37,113,0.3274336283185841
1183,46,140,0.32857142857142857
479,69,210,0.32857142857142857
1187,46,140,0.32857142857142857
1839,35,106,0.330188679245283
1475,39,118,0.3305084745762712
1240,45,136,0.33088235294117646
796,57,172,0.3313953488372093
353,79,238,0.3319327731092437
1177,47,141,0.3333333333333333
1078,49,147,0.3333333333333333
1575,39,116,0.33620689655172414
1238,46,136,0.3382352941176471
1215,46,136,0.3382352941176471
1236,46,136,0.3382352941176471
741,60,177,0.3389830508474576
1179,48,141,0.3404255319148936
1174,48,141,0.3404255319148936
1322,43,126,0.3412698412698413
926,57,167,0.3413173652694611
1514,39,114,0.34210526315789475
1787,37,108,0.3425925925925926
1194,48,140,0.34285714285714286
681,63,183,0.3442622950819672
1680,39,113,0.34513274336283184
1689,39,113,0.34513274336283184
1011,52,150,0.3466666666666667
1069,51,147,0.3469387755102041
1090,51,147,0.3469387755102041
1875,34,98,0.3469387755102041
1082,51,147,0.3469387755102041
1578,40,115,0.34782608695652173
969,56,161,0.34782608695652173
710,63,181,0.34806629834254144
1244,47,135,0.34814814814814815
1161,50,143,0.34965034965034963
712,63,180,0.35
1894,34,97,0.35051546391752575
1629,40,114,0.3508771929824561
1851,37,105,0.3523809523809524
298,89,252,0.3531746031746032
1066,52,147,0.35374149659863946
1678,40,113,0.35398230088495575
715,64,180,0.35555555555555557
1480,42,118,0.3559322033898305
1582,41,115,0.3565217391304348
1185,50,140,0.35714285714285715
1733,40,112,0.35714285714285715
1192,50,140,0.35714285714285715
1190,50,140,0.35714285714285715
1072,53,148,0.3581081081081081
1075,53,148,0.3581081081081081
1828,38,106,0.3584905660377358
1824,38,106,0.3584905660377358
1841,38,106,0.3584905660377358
268,94,262,0.35877862595419846
923,60,167,0.3592814371257485
928,60,167,0.3592814371257485
1588,41,114,0.35964912280701755
1619,41,114,0.35964912280701755
1622,41,114,0.35964912280701755
1172,51,141,0.3617021276595745
1834,38,105,0.3619047619047619
1694,41,113,0.36283185840707965
1221,49,135,0.362962962962963
473,77,212,0.3632075471698113
558,72,198,0.36363636363636365
463,78,214,0.3644859813084112
1569,42,115,0.3652173913043478
1585,42,115,0.3652173913043478
448,79,216,0.36574074074074076
1866,37,101,0.36633663366336633
1776,40,109,0.3669724770642202
484,77,208,0.3701923076923077
459,80,216,0.37037037037037035
305,93,251,0.3705179282868526
1166,53,143,0.3706293706293706
442,81,218,0.37155963302752293
1093,55,148,0.3716216216216216
1737,42,113,0.37168141592920356
1169,53,142,0.3732394366197183
1743,42,112,0.375
262,99,264,0.375
530,74,197,0.3756345177664975
564,74,197,0.3756345177664975
1009,56,149,0.37583892617449666
1774,41,109,0.3761467889908257
728,67,178,0.37640449438202245
1404,46,122,0.3770491803278688
158,112,297,0.3771043771043771
1624,43,114,0.37719298245614036
779,65,172,0.37790697674418605
1095,56,148,0.3783783783783784
1712,42,111,0.3783783783783784
955,61,161,0.37888198757763975
772,66,174,0.3793103448275862
641,71,187,0.37967914438502676
813,65,171,0.38011695906432746
1740,43,113,0.3805309734513274
562,75,197,0.38071065989847713
560,75,197,0.38071065989847713
643,71,186,0.3817204301075269
1764,42,110,0.38181818181818183
355,91,238,0.38235294117647056
451,83,217,0.3824884792626728
916,64,167,0.38323353293413176
846,65,169,0.38461538461538464
951,63,163,0.38650306748466257
882,65,168,0.3869047619047619
1114,57,147,0.3877551020408163
937,64,165,0.3878787878787879
1557,45,116,0.3879310344827586
1249,52,134,0.3880597014925373
1273,51,131,0.3893129770992366
1632,44,113,0.3893805309734513
1687,44,113,0.3893805309734513
614,74,190,0.3894736842105263
995,60,154,0.38961038961038963
938,64,164,0.3902439024390244
637,73,187,0.39037433155080214
1550,45,115,0.391304347826087
1563,45,115,0.391304347826087
523,78,199,0.39195979899497485
527,78,199,0.39195979899497485
502,79,201,0.39303482587064675
1491,46,117,0.39316239316239315
821,67,170,0.3941176470588235
650,73,185,0.3945945945945946
1668,45,114,0.39473684210526316
373,93,235,0.39574468085106385
582,76,192,0.3958333333333333
607,76,192,0.3958333333333333
567,78,197,0.39593908629441626
1844,42,106,0.39622641509433965
1708,44,111,0.3963963963963964
363,94,237,0.39662447257383965
1315,50,126,0.3968253968253968
245,106,267,0.3970037453183521
1590,45,113,0.39823008849557523
1594,45,113,0.39823008849557523
1676,45,113,0.39823008849557523
1478,47,118,0.3983050847457627
1485,47,118,0.3983050847457627
1305,51,128,0.3984375
1262,53,133,0.39849624060150374
112,128,321,0.3987538940809969
1659,46,115,0.4
1122,58,145,0.4
1519,46,115,0.4
865,68,170,0.4
746,71,177,0.4011299435028249
781,69,172,0.4011627906976744
918,67,167,0.40119760479041916
1706,45,112,0.4017857142857143
774,70,174,0.40229885057471265
360,95,236,0.4025423728813559
993,62,154,0.4025974025974026
1254,54,134,0.40298507462686567
504,81,201,0.40298507462686567
1251,54,134,0.40298507462686567
1253,54,134,0.40298507462686567
699,73,181,0.40331491712707185
445,88,218,0.4036697247706422
271,105,260,0.40384615384615385
984,63,156,0.40384615384615385
1868,40,99,0.40404040404040403
404,91,225,0.40444444444444444
242,108,267,0.4044943820224719
967,64,158,0.4050632911392405
816,69,170,0.40588235294117647
1599,46,113,0.40707964601769914
358,97,238,0.40756302521008403
1883,40,98,0.40816326530612246
1560,47,115,0.40869565217391307
832,70,171,0.4093567251461988
1007,61,149,0.40939597315436244
184,120,293,0.40955631399317405
250,109,266,0.40977443609022557
1409,50,122,0.4098360655737705
730,73,178,0.4101123595505618
1489,48,117,0.41025641025641024
1247,55,134,0.41044776119402987
1904,39,95,0.4105263157894737
532,81,197,0.41116751269035534
387,95,231,0.41125541125541126
248,110,267,0.41198501872659177
934,68,165,0.4121212121212121
1120,61,148,0.41216216216216217
1670,47,114,0.41228070175438597
1332,52,126,0.4126984126984127
1310,52,126,0.4126984126984127
1337,52,126,0.4126984126984127
1777,45,109,0.41284403669724773
1780,45,109,0.41284403669724773
460,89,215,0.413953488372093
587,80,193,0.41450777202072536
1116,61,147,0.41496598639455784
1487,49,118,0.4152542372881356
1699,47,113,0.415929203539823
1234,57,137,0.41605839416058393
569,82,197,0.41624365482233505
903,70,168,0.4166666666666667
639,78,187,0.41711229946524064
1256,56,134,0.417910447761194
742,74,177,0.4180790960451977
666,77,184,0.41847826086956524
848,72,172,0.4186046511627907
276,108,258,0.4186046511627907
252,111,265,0.4188679245283019
1853,44,105,0.41904761904761906
646,78,186,0.41935483870967744
764,73,174,0.41954022988505746
580,81,193,0.41968911917098445
1320,53,126,0.42063492063492064
190,122,290,0.4206896551724138
1673,48,114,0.42105263157894735
1606,48,114,0.42105263157894735
226,115,273,0.42124542124542125
537,83,197,0.4213197969543147
534,83,197,0.4213197969543147
997,65,154,0.42207792207792205
255,112,265,0.4226415094339623
126,134,317,0.4227129337539432
341,102,241,0.42323651452282157
748,75,177,0.423728813559322
365,100,236,0.423728813559322
612,81,191,0.42408376963350786
809,73,172,0.42441860465116277
1717,48,113,0.4247787610619469
1596,48,113,0.4247787610619469
465,92,216,0.42592592592592593
