query,ema
酒醉的蝴蝶,39580.8359375
在家锻炼,17283.4960938
百花香,15492.3251953
桥边姑娘,15218.7490234
健身操,11529.8642578
一晃就老了,9178.40039062
一生与你擦肩而过,8391.17675781
爱情醉醉醉32步,7574.05761719
野花香,6528.71728516
站着等你三千年,6172.48632812
妹妹你是我的人,6030.94042969
杨丽萍原创广场舞,5923.35742188
鬼步舞,5583.1796875
拉萨夜雨,5334.20898438
酒醉的蝴蝶32步,4829.79101562
鸟儿对花说,4009.52099609
牵着妈妈的手,3881.35644531
谁,3858.20458984
百花香32步,2865.67651367
山谷里的思念,2806.29272461
我的九寨,2722.64770508
小苹果,2620.64819336
红枣树,2594.6940918
爱到流泪谁的罪32步,2588.50878906
广场舞,2528.75610352
杨丽萍,2480.19213867
美丽的草原我的家,2424.15161133
火红的萨日朗,2216.86010742
又见山里红,2199.70507812
你像三月桃花开,2155.43408203
健身操完整,1951.18103027
花儿哪有阿妹俏,1894.2166748
杨丽萍广场舞,1766.10009766
云裳广场舞,1757.77636719
鸟儿对花说广场舞32步,1743.85119629
送亲,1678.06115723
冬天里的一把火,1674.65002441
抗击新型冠状病毒肺炎之歌,1615.99926758
美美哒,1556.83422852
多年以后,1548.06201172
花桥流水,1533.07421875
火火的姑娘,1520.39599609
花与影广场舞,1517.0480957
别知己,1477.45739746
万爱千恩,1427.84228516
唱着情歌流着泪,1398.3828125
格桑拉,1374.69848633
花蝴蝶,1372.31799316
吉美广场舞,1368.2557373
双人舞,1328.93835449
爱情堡垒,1308.48413086
一首想家的歌,1294.765625
杨丽萍健身操,1293.72119141
段希帆广场舞,1289.29162598
春英广场舞,1284.58447266
女人没有错,1274.73071289
阿哥阿妹,1263.97924805
糖豆广场舞课堂,1255.86083984
你笑起来真好看,1252.62426758
炸山姑娘,1244.54431152
最后的倾诉,1239.44384766
桥边姑娘广场舞原创,1235.17199707
野花香广场舞32步,1233.52856445
荞麦花,1232.56787109
谁广场舞32步,1230.21228027
幺妹家住十三寨,1222.37902832
鬼步舞教学,1200.61035156
阿采广场舞,1200.27880859
情路弯弯,1192.37805176
茉莉广场舞,1174.34777832
映容雪广场舞,1157.26586914
梅花泪,1152.52770996
武阿哥健身操,1144.14758301
相伴一生,1112.42785645
甜甜甜,1107.59936523
一朵云在蓝天飘过,1096.2956543
你是我的人,1092.96240234
爱情醉醉醉64步,1074.03173828
过河,1069.1027832
雨中泪,1064.69262695
动动广场舞,1063.8873291
桃花运,1041.0892334
酒醉的蝴蝶鬼步舞,1040.84509277
笑春风广场舞,1040.0324707
青儿广场舞,1029.48156738
情火,1013.71142578
拥抱你离去,1003.1675415
三步踩,1002.09228516
儿童舞蹈,994.516174316
最炫民族风,992.784423828
心上的罗加,989.020202637
都说,988.488586426
兔子舞,975.846618652
无奈的思绪,964.738220215
三月三,962.346313477
开门红,941.263183594
刘荣广场舞,928.490600586
天籁之爱,927.309265137
花开的时候你就来看我,919.789611816
爱你每一天,914.654296875
