qq_music,search,pv,mp3_lib,num
听妈妈的话,,-1,,-1
少年,,-1,,-1
223's,,-1,,-1
遇见你,遇见你,91,遇见你,3296
感谢你曾来过,,-1,,-1
最美的伤口,,-1,,-1
迷人的危险,,-1,,-1
只要平凡,只要平凡,14,,-1
我这一生,我这一生,58,我这一生,63
Take Me Hand,,-1,,-1
像鱼,,-1,,-1
想见你想见你想见你,,-1,,-1
红色高跟鞋,,-1,,-1
芒种,,-1,芒种,510
像暗杀似的绕到背后突然拥抱你,,-1,,-1
麻雀,,-1,,-1
晴天,,-1,,-1
夜空中最亮的星,夜空中最亮的星,75,夜空中最亮的星,38
春娇与志明,,-1,,-1
Sold Out,,-1,,-1
你的答案,你的答案,822,你的答案,49
冬眠,,-1,,-1
最美的伤口,,-1,,-1
桥边姑娘,桥边姑娘,77981,桥边姑娘,11929
那女孩对我说,,-1,,-1
十年,,-1,,-1
嚣张,,-1,,-1
勇气,,-1,,-1
下山,,-1,,-1
句号,,-1,,-1
体面,,-1,,-1
光年之外,光年之外,27,,-1
七里香,,-1,,-1
无人之岛,,-1,,-1
一路向北,一路向北,1379,一路向北,572
年少有为,,-1,,-1
告白气球,告白气球,70,,-1
关键词,,-1,,-1
一生与你擦肩而过,一生与你擦肩而过,48101,一生与你擦肩而过,2968
你的酒馆对我打了烊,你的酒馆对我打了烊,116,,-1
可不可以,可不可以,61,,-1
春三月,,-1,,-1
Lutra,,-1,,-1
火红的萨日朗,火红的萨日朗,15932,火红的萨日朗,3226
后继者,,-1,,-1
这一生关于你的风景,,-1,,-1
以后的以后,以后的以后,66,以后的以后,212
绿色,,-1,绿色,47
红昭愿,红昭愿,257,红昭愿,175
侧脸,,-1,,-1
一个人挺好,,-1,一个人挺好,409
多想在平庸的生活拥抱你,,-1,,-1
大眠,,-1,,-1
来自天堂的魔鬼,来自天堂的魔鬼,97,,-1
缘分一道桥,缘分一道桥,131,,-1
再见只是陌生人,再见只是陌生人,36,再见只是陌生人,56
修炼爱情,,-1,,-1
演员,,-1,,-1
安和桥,安和桥,38,安和桥,41
百花香,百花香,92209,百花香,14342
无期,,-1,,-1
溯  feat. 马吟吟,,-1,,-1
心如止水,心如止水,231,心如止水,146
云烟成雨,,-1,,-1
一曲相思,一曲相思,1289,一曲相思,5558
牧马城市,,-1,,-1
Last Dance,,-1,,-1
苏幕遮,苏幕遮,510,苏幕遮,95
贝贝,,-1,,-1
处处吻,,-1,,-1
我走后,,-1,,-1
野狼disco,野狼disco,1540,野狼disco,136
山楂树の恋,,-1,,-1
我的名字,,-1,,-1
Faded,,-1,,-1
画,,-1,,-1
一个人挺好,,-1,一个人挺好,409
DDU-DU DDU-DU,,-1,,-1
End of Time,,-1,,-1
你若三冬,,-1,你若三冬,62
泡沫,,-1,,-1
暗示分离,,-1,,-1
遇见,,-1,遇见,369
That Girl,,-1,,-1
追光者,追光者,47,追光者,32
你笑起来真好看,你笑起来真好看,10017,你笑起来真好看,4702
空空如也,空空如也,40,空空如也,78
悬溺,,-1,,-1
天空之外,,-1,,-1
世界这么大还是遇见你,,-1,,-1
送亲,,-1,送亲,2319
成都,,-1,成都,230
可惜没如果,,-1,,-1
赤伶,,-1,赤伶,49
酒醉的蝴蝶,酒醉的蝴蝶,222866,酒醉的蝴蝶,73581
,,-1,,-1
消愁,,-1,,-1
Walk Thru Fire,,-1,,-1
太阳,,-1,,-1
借,,-1,,-1
