qq_music,search,pv,mp3_lib,num
少年,,-1,,-1
惊雷,,-1,,-1
听妈妈的话,,-1,,-1
红色高跟鞋,,-1,,-1
口是心非,,-1,,-1
世界这么大还是遇见你,,-1,,-1
春娇与志明,,-1,,-1
桥边姑娘,桥边姑娘,77981,桥边姑娘,11929
冬眠,,-1,,-1
麻雀,,-1,,-1
想见你想见你想见你,,-1,,-1
芒种,,-1,芒种,510
晴天,,-1,,-1
像鱼,,-1,,-1
关键词,,-1,,-1
句号,,-1,,-1
十年,,-1,,-1
那女孩对我说,,-1,,-1
体面,,-1,,-1
你的答案,你的答案,822,你的答案,49
下山,,-1,,-1
感谢你曾来过,,-1,,-1
嚣张,,-1,,-1
迷人的危险,,-1,,-1
盗墓笔记·十年人间,,-1,,-1
光年之外,光年之外,27,,-1
无人之岛,,-1,,-1
夜空中最亮的星,夜空中最亮的星,75,夜空中最亮的星,38
只要平凡,只要平凡,14,,-1
年少有为,,-1,,-1
七里香,,-1,,-1
你的酒馆对我打了烊,你的酒馆对我打了烊,116,,-1
稻香,,-1,,-1
来自天堂的魔鬼,来自天堂的魔鬼,97,,-1
告白气球,告白气球,70,,-1
缘分一道桥,缘分一道桥,131,,-1
绿色,,-1,绿色,47
等着等着就老了,,-1,,-1
搁浅,,-1,,-1
贝贝,,-1,,-1
野狼disco,野狼disco,1540,野狼disco,136
说好不哭,,-1,,-1
借,,-1,,-1
一路向北,一路向北,1379,一路向北,572
牧马城市,,-1,,-1
昙花一现雨及时,,-1,,-1
我们,,-1,我们,373
我的名字,,-1,,-1
我爱你,我爱你,2747,我爱你,1341
勇气,,-1,,-1
苏幕遮,苏幕遮,510,苏幕遮,95
火红的萨日朗,火红的萨日朗,15932,火红的萨日朗,3226
最美的伤口,,-1,,-1
百花香,百花香,92209,百花香,14342
Dancing With Your Ghost,,-1,,-1
无期,,-1,,-1
多想在平庸的生活拥抱你,,-1,,-1
这一生关于你的风景,,-1,,-1
Monsters,,-1,,-1
心如止水,心如止水,231,心如止水,146
安和桥,安和桥,38,安和桥,41
处处吻,,-1,,-1
修炼爱情,,-1,,-1
溯  feat. 马吟吟,,-1,,-1
泡沫,,-1,,-1
云烟成雨,,-1,,-1
演员,,-1,,-1
画,,-1,,-1
一生回味一面,,-1,,-1
心愿,,-1,心愿,102
遇见,,-1,遇见,369
解脱,,-1,,-1
YES!OK!,,-1,,-1
口是心非,,-1,,-1
Manta,,-1,,-1
红昭愿,红昭愿,257,红昭愿,175
后继者,,-1,,-1
追光者,追光者,47,追光者,32
再见只是陌生人,再见只是陌生人,36,再见只是陌生人,56
你笑起来真好看,你笑起来真好看,10017,你笑起来真好看,4702
莫问归期,,-1,,-1
可惜没如果,,-1,,-1
山河无恙在我胸,,-1,,-1
成都,,-1,成都,230
Love You More,,-1,,-1
Last Dance,,-1,,-1
退后,,-1,,-1
等你下课,,-1,,-1
空空如也,空空如也,40,空空如也,78
蒲公英的约定,,-1,,-1
爱的飞行日记,,-1,,-1
悬溺,,-1,,-1
你是对的人,,-1,,-1
海阔天空,海阔天空,65,海阔天空,133
消愁,,-1,,-1
想见你想见你想见你 + someday or one day,,-1,,-1
青花瓷,青花瓷,14,青花瓷,801
夜曲,,-1,,-1
那些你很冒险的梦,,-1,,-1
一个人挺好,,-1,一个人挺好,409
一生与你擦肩而过,一生与你擦肩而过,48101,一生与你擦肩而过,2968
大眠,,-1,,-1
可不可以,可不可以,61,,-1
Sold Out,,-1,,-1
侧脸,,-1,,-1
我走后,,-1,,-1
我这一生,我这一生,58,我这一生,63
一个人挺好,,-1,一个人挺好,409
Take Me Hand,,-1,,-1
太阳,,-1,,-1
你若三冬,,-1,你若三冬,62
一曲相思,一曲相思,1289,一曲相思,5558
Faded,,-1,,-1
最美的伤口,,-1,,-1
山楂树の恋,,-1,,-1
时间的过客,,-1,,-1
酒醉的蝴蝶,酒醉的蝴蝶,222866,酒醉的蝴蝶,73581
That Girl,,-1,,-1
暗示分离,,-1,,-1
清新的小女孩,,-1,,-1
223's,,-1,,-1
送亲,,-1,送亲,2319
欧若拉,欧若拉,739,欧若拉,436
我是如此相信,,-1,,-1
End of Time,,-1,,-1
Walk Thru Fire,,-1,,-1
无心斗艳,,-1,,-1
DDU-DU DDU-DU,,-1,,-1
给我一首歌的时间,,-1,,-1
最近,,-1,,-1
以后的以后,以后的以后,66,以后的以后,212
遇见你,遇见你,91,遇见你,3296
把孤独当做晚餐,,-1,,-1
这就是爱吗,,-1,,-1
后来,,-1,,-1
欧若拉,欧若拉,739,欧若拉,436
最美的期待,最美的期待,62,,-1
Way Back Home,,-1,,-1
像暗杀似的绕到背后突然拥抱你,,-1,,-1
倒数,,-1,,-1
下山,,-1,,-1
心愿便利贴,,-1,,-1
沙漠骆驼,沙漠骆驼,753,沙漠骆驼,1706
最美的伤口,,-1,,-1
不能说的秘密,,-1,,-1
安静,,-1,,-1
NUMB,,-1,,-1
简单爱,,-1,,-1
凉凉,,-1,凉凉,5136
心墙,,-1,,-1
"我热情如火,你冰冻成河",,-1,,-1
我这一生,我这一生,58,我这一生,63
赤伶,,-1,赤伶,49
玉,,-1,,-1
遗憾,,-1,,-1
树读,,-1,,-1
流星,,-1,,-1
像我这样的人,,-1,,-1
这就是爱吗?,,-1,,-1
大天蓬,,-1,,-1
天空之外,,-1,,-1
听我说谢谢你,,-1,听我说谢谢你,189
会好的,,-1,,-1
春三月,,-1,,-1
渔家傲·秋思,,-1,,-1
忘情牛肉面,忘情牛肉面,4724,忘情牛肉面,1259
男孩,,-1,,-1
平凡天使,,-1,,-1
最美风景线,,-1,,-1
处处吻,,-1,,-1
炸山姑娘,,-1,炸山姑娘,1522
Да да да,,-1,,-1
像极了,,-1,,-1
我要找到你,我要找到你,300,我要找到你,108
敢教天下无风尘,,-1,,-1
逃爱,,-1,逃爱,1272
道,,-1,,-1
好几年,,-1,,-1
渡我不渡她,渡我不渡她,99,渡我不渡她,204
炸山姑娘,,-1,炸山姑娘,1522
这就是爱吗,,-1,,-1
火苗,,-1,火苗,6236
大眠,,-1,,-1
多年以后,多年以后,11443,多年以后,9624
Da Da Da,,-1,,-1
黎明前的黑暗,黎明前的黑暗,103,黎明前的黑暗,40
50 Feet,,-1,,-1
你要相信这不是最后一天,,-1,,-1
穷极一生到不了的天堂,,-1,,-1
,,-1,,-1
惊雷,,-1,,-1
Coming Home,,-1,,-1
世间美好与你环环相扣,,-1,,-1
不谓侠,不谓侠,56,不谓侠,122
离岸,,-1,,-1
橱窗,,-1,,-1
国王与乞丐,,-1,,-1
惊雷,,-1,,-1
你是我唯一的执着,,-1,,-1
小朋友你是否有很多问号,,-1,,-1
谁,谁,979,谁,20322
直觉,,-1,,-1
什么样的爱情,,-1,,-1
DJDJ给我一条K,,-1,,-1
梅香如故,梅香如故,6,,-1
AS IF IT'S YOUR LAST,,-1,,-1
流放,,-1,,-1
孤单的人,,-1,,-1
裂缝中的阳光,,-1,,-1
青春不打烊,,-1,,-1
彻悟,,-1,,-1
别再对我好,,-1,,-1
别再对我好,,-1,,-1
据说真的有神,,-1,,-1
Coming Home,,-1,,-1
不潮不用花钱,不潮不用花钱,18,,-1
旅行中忘记,,-1,,-1
美丽女人,美丽女人,125,美丽女人,877
没有你的结尾,,-1,,-1
千千阙歌,千千阙歌,63,千千阙歌,34
透明,,-1,,-1
陪你去流浪,,-1,,-1
不再联系,,-1,,-1
每个人都是孤独的,,-1,,-1
处处吻,,-1,,-1
我最,,-1,,-1
叹郁孤,,-1,,-1
Dance Monkey,,-1,,-1
走不出的回忆,,-1,,-1
我好喜欢你,,-1,,-1
我的姑娘,,-1,,-1
Turn All the Lights On,,-1,,-1
辞九门回忆,,-1,,-1
飞蛾扑火,,-1,,-1
星星,,-1,星星,49
我爱他,,-1,,-1
挪威的森林,,-1,,-1
阿刁,,-1,,-1
Sweet Night,,-1,,-1
想你,,-1,想你,446
少年,,-1,,-1
EDM,,-1,,-1
想自由,,-1,,-1
同样,,-1,,-1
Kiss Fight,,-1,,-1
口是心非,,-1,,-1
孤单的人,,-1,,-1
情人鹤顶红,情人鹤顶红,568,情人鹤顶红,1117
你就不要想起我,,-1,,-1
天下,,-1,,-1
有一种思念叫永远,有一种思念叫永远,9743,有一种思念叫永远,126
心欲止水,,-1,,-1
缘字书,,-1,,-1
七月上,,-1,,-1
世间美好,,-1,,-1
시작,,-1,,-1
酒醉的蝴蝶,酒醉的蝴蝶,222866,酒醉的蝴蝶,73581
Trouble I'm In,,-1,,-1
山海,,-1,,-1
大雪,,-1,,-1
摩天动物园,,-1,,-1
爸爸妈妈,爸爸妈妈,380,爸爸妈妈,114
好几年,,-1,,-1
微微,,-1,,-1
惊雷,,-1,,-1
爱过你这件事,,-1,,-1
平凡之路,平凡之路,36,平凡之路,70
偏偏,,-1,,-1
让我欢喜让我忧,,-1,,-1
Wait a Minute!,,-1,,-1
黎明前的黑暗,黎明前的黑暗,103,黎明前的黑暗,40
直觉,,-1,,-1
不露声色,,-1,,-1
那男孩还好吗,,-1,,-1
时光与你都很甜,,-1,,-1
红黑,,-1,,-1
原来你也在这里,原来你也在这里,4,原来你也在这里,58
山外小楼夜听雨,,-1,,-1
该,,-1,,-1
酒醉的蝴蝶,酒醉的蝴蝶,222866,酒醉的蝴蝶,73581
这扯淡的人生,,-1,,-1
End Of The Night,,-1,,-1
Physical,,-1,,-1
爱如潮水,爱如潮水,42,,-1
Psycho,,-1,,-1
枕边人,,-1,,-1
飘向北方,,-1,,-1
好几年,,-1,,-1
你是我唯一的执着,,-1,,-1
哈尼宝贝,哈尼宝贝,475,哈尼宝贝,34
小小的太阳,小小的太阳,15,小小的太阳,34
青丝,,-1,,-1
天后,,-1,,-1
错的时间遇见对的你,,-1,,-1
Pretty Girl,,-1,,-1
你曾是少年,,-1,,-1
You,,-1,,-1
出现又离开,,-1,,-1
Astronomia,,-1,,-1
Move Up,,-1,,-1
