qq_music,search,pv,mp3_lib,num
遇见你,遇见你,91,遇见你,3296
口是心非,,-1,,-1
世界这么大还是遇见你,,-1,,-1
一生回味一面,,-1,,-1
我这一生,我这一生,58,我这一生,63
惊雷,,-1,,-1
道,,-1,,-1
同样,,-1,,-1
我爱你,我爱你,2747,我爱你,1341
无期,,-1,,-1
最美的伤口,,-1,,-1
最美的伤口,,-1,,-1
大眠,,-1,,-1
没有你的结尾,,-1,,-1
我的姑娘,,-1,,-1
彻悟,,-1,,-1
叹郁孤,,-1,,-1
春三月,,-1,,-1
我最,,-1,,-1
每个人都是孤独的,,-1,,-1
小朋友你是否有很多问号,,-1,,-1
火苗,,-1,火苗,6236
DJDJ给我一条K,,-1,,-1
美丽女人,美丽女人,125,美丽女人,877
这就是爱吗,,-1,,-1
我好喜欢你,,-1,,-1
天空之外,,-1,,-1
惊雷奈白没,,-1,,-1
今生相爱,今生相爱,5135,今生相爱,3076
孤单的人,,-1,,-1
什么样的爱情,,-1,,-1
美人吟,美人吟,410,美人吟,817
情人鹤顶红,情人鹤顶红,568,情人鹤顶红,1117
春风暖暖,,-1,,-1
不再等候的姑娘,,-1,,-1
酒醉的蝴蝶,酒醉的蝴蝶,222866,酒醉的蝴蝶,73581
Will You Marry Me,,-1,,-1
炸山姑娘,,-1,炸山姑娘,1522
别再对我好,,-1,,-1
"我热情如火,你冰冻成河",,-1,,-1
穷极一生到不了的天堂,,-1,,-1
漫步人生路,漫步人生路,83,漫步人生路,286
蓝色鸢尾,,-1,,-1
处处吻,,-1,,-1
"爱,籽,花",,-1,,-1
时间的过客,,-1,,-1
何必再问,,-1,,-1
痴情错,,-1,,-1
江归江山归山,,-1,,-1
塞班,,-1,,-1
FASTER,,-1,,-1
太阳,,-1,,-1
百花香,百花香,92209,百花香,14342
快醒醒,,-1,,-1
难题,,-1,,-1
信仰,,-1,,-1
分手的话,,-1,,-1
Geronimo,,-1,,-1
直觉,,-1,,-1
追梦人,追梦人,844,追梦人,3339
难以启齿的柔弱,,-1,,-1
关于喜欢一个人的领悟,,-1,,-1
失络,,-1,,-1
下凡,,-1,,-1
当你从我眼前慢慢走过,,-1,,-1
不羡仙,,-1,,-1
这扯淡的人生,,-1,,-1
予君书,,-1,,-1
让我们做个了断吧,,-1,,-1
什么是兄弟,,-1,,-1
我把相思酿成酒,,-1,,-1
大孩子,,-1,,-1
不再联系,,-1,,-1
逾期回忆,,-1,,-1
赌徒,赌徒,66,赌徒,997
各自成全,,-1,,-1
一个人想着一个人,,-1,,-1
琉璃,,-1,,-1
你确定这就是爱吗,,-1,,-1
我要找到你,我要找到你,300,我要找到你,108
旧灯错,,-1,,-1
爱不得忘不舍,,-1,,-1
最美的伤口,,-1,,-1
凉亭前女友,,-1,,-1
暗恋就好,,-1,,-1
不挽留没回头,,-1,,-1
我还是从前那个少年,,-1,,-1
留白,,-1,,-1
近况,,-1,,-1
桥边姑娘,桥边姑娘,77981,桥边姑娘,11929
情花几时开,,-1,情花几时开,1090
最痴情的人,,-1,,-1
用心爱你你不懂,,-1,,-1
平行宇宙,,-1,,-1
让我们做个了断吧,,-1,,-1
青春已打烊,,-1,,-1
拿手好戏,,-1,,-1
熬夜上瘾,,-1,,-1
223“S,,-1,,-1
再不会,,-1,,-1
